"App Minify Extensions","App Minify Extensions"
"Minify HTML CSS JS","Minify HTML CSS JS"
"General","General"
"Enabled","Enabled"
"Enables or disables extension.","Enables or disables extension."
"Enable Maximum Minification","Enable Maximum Minification"
"Enables or disables Maximum HTML Minification.<br />Slower and unsafe. See tooltip for more information.","Enables or disables Maximum HTML Minification.<br />Slower and unsafe. See tooltip for more information."
"If you enable this option all multiple spaces will be eliminated and replaced with one space. All new line characters will be substituted with one space character. Your entire code will be on one line. This is not recommended, you should keep this option disabled.","If you enable this option all multiple spaces will be eliminated and replaced with one space. All new line characters will be substituted with one space character. Your entire code will be on one line. This is not recommended, you should keep this option disabled."
"Enable Cache Compatibility Mode","Enable Cache Compatibility Mode"
"Enables or disables Cache Compatibility Mode.<br /> You should enable this if you use third party FPC or Varnish cache extensions.","Enables or disables Cache Compatibility Mode.<br />You should enable this if you use third party FPC or Varnish cache extensions."
"Remove Important Comments","Remove Important Comments"
"See tooltip for more information.","See tooltip for more information."
"If you enable this option important comments will be removed. Sometimes important comments hold copyright information and removing them is considered copyright infringement violation. If you are sure your CSS and JS code does not have important comments with copyright information you can enable this option.","If you enable this option important comments will be removed. Sometimes important comments hold copyright information and removing them is considered copyright infringement violation. If you are sure your CSS and JS code does not have important comments with copyright information you can enable this option."
